,player_name,Season,Fastballs,velocity,spin_rate,pitch_percent,total_pitches,days_injured
1,John Lackey,2015,1726,90.1,2183,86.1,2005,0
2,Dan Haren,2015,1712,85,2171,84.8,2020,0
3,Shelby Miller,2015,1700,93.1,2204,83,2047,0
4,Lance Lynn,2015,1675,92.1,2347,84,1994,0
5,Dallas Keuchel,2015,1550,89.6,2043,70.5,2199,0
6,Phil Hughes,2015,1546,90.6,2121,80.1,1929,0
7,David Price,2015,1527,93.6,2225,68.8,2221,0
8,Collin McHugh,2015,1511,89,2253,72,2098,0
9,Johnny Cueto,2015,1490,91.8,2262,73.1,2039,0
10,Jeff Samardzija,2015,1473,94,2446,66.4,2218,0
11,Bartolo Colon,2015,1449,88.9,2165,84.4,1716,0
12,Jon Lester,2015,1431,91,2227,67.9,2106,0
13,Taijuan Walker,2015,1421,94.4,2137,74.8,1901,0
14,Michael Wacha,2015,1419,93.6,2083,72.4,1961,0
15,Mark Buehrle,2015,1374,83.3,1999,72.9,1884,0
16,Mike Fiers,2015,1365,89,2158,67.9,2011,0
17,Jose Quintana,2015,1361,91.8,2070,62.1,2193,0
18,Sonny Gray,2015,1357,93.9,2337,63.9,2122,0
19,Andrew Cashner,2015,1344,95.4,2175,67.9,1979,0
20,Cole Hamels,2015,1340,91.9,2074,63.7,2105,0
21,Jesse Chavez,2015,1323,91.5,2325,71.6,1849,0
22,C.J. Wilson,2015,1321,90.4,2137,62.4,2117,0
23,Danny Salazar,2015,1318,95.7,2346,67.5,1952,0
24,Max Scherzer,2015,1277,94.3,2496,59.3,2155,0
25,James Shields,2015,1268,90.2,2262,58.5,2169,0
26,Trevor Bauer,2015,1264,92.1,2191,63.8,1981,0
27,Drew Hutchison,2015,1256,93,2346,65.3,1922,0
28,Julio Teheran,2015,1238,91.6,2187,61.1,2027,0
29,Wei-Yin Chen,2015,1238,91.7,2072,65.2,1899,0
30,Chris Tillman,2015,1235,92.1,2279,65.9,1874,0
31,Jonathon Niese,2015,1229,88.9,2017,66.6,1844,0
32,Rubby De La Rosa,2015,1210,94.8,2265,60.1,2014,0
33,Rick Porcello,2015,1208,91.7,2436,64.6,1870,0
34,Kyle Gibson,2015,1205,92.5,2161,59.6,2021,0
35,Jacob deGrom,2015,1190,95.5,2223,62.6,1902,0
36,Chris Archer,2015,1190,95.8,2192,53.5,2226,0
37,Anthony DeSclafani,2015,1186,92.8,2066,63.2,1877,0
38,Gio Gonzalez,2015,1185,92.6,2211,65.1,1820,0
39,Aaron Harang,2015,1184,89.7,2314,66.9,1771,0
40,Matt Harvey,2015,1183,96.7,2341,60.1,1967,0
41,Ubaldo Jimenez,2015,1180,90.9,2049,62.8,1879,0
42,Gerrit Cole,2015,1179,96.4,2142,58.1,2028,0
43,J.A. Happ,2015,1179,92.3,2327,63.7,1851,0
44,Wade Miley,2015,1167,91.5,2187,58,2011,0
45,Matt Garza,2015,1159,93.2,1959,66.5,1743,0
46,Garrett Richards,2015,1159,96,2461,61.9,1872,0
47,Jordan Zimmermann,2015,1158,93.4,2299,59.4,1950,0
48,Clay Buchholz,2015,1152,91.2,2306,67.1,1716,0
49,Carlos Martinez,2015,1143,95.6,2029,58.3,1959,1
50,Chris Sale,2015,1143,95.2,2270,52.9,2159,0
51,Clayton Kershaw,2015,1141,94.2,2222,55.5,2057,0
52,Zack Greinke,2015,1139,92.1,2367,53.8,2116,0
53,Nick Martinez,2015,1133,90.3,2213,60.6,1869,0
54,Ian Kennedy,2015,1126,91.6,2366,63.2,1783,0
55,Alfredo Simon,2015,1119,92.2,2103,58.3,1918,0
56,Yovani Gallardo,2015,1115,91.2,2107,51,2186,0
57,Nate Karns,2015,1113,92.2,2353,58.8,1893,0
58,Colby Lewis,2015,1097,88.7,2289,54.2,2023,0
59,John Danks,2015,1074,88.8,2352,59.9,1794,0
60,Carlos Carrasco,2015,1074,95,2226,55.2,1947,1
61,Chase Anderson,2015,1068,91.7,2077,62.9,1699,0
62,Tyson Ross,2015,1067,93.7,2472,49.9,2137,0
63,Tom Koehler,2015,1061,92.8,2090,58.4,1817,0
